Time(s),MC SW Overview - Actual Position(mm),MC SW Force Control - Measured Force(N),MC SW Force Control - Actual Acceleration(m/s^2),MC SW Overview - Actual Velocity(m/s),
0.906,-64.3431,-2.7,0.237,-0.000533,
0.908,-64.3425,-2.6,-1.994,-0.001066,
0.91,-64.3407,-2.7,2.034,0.002133,
0.912,-64.3407,-2.7,-3.426,-0.001688,
0.914,-64.3407,-2.6,-1.882,0.000533,
0.916,-64.3431,-2.6,-3.364,-0.003822,
0.918,-64.3407,-2.7,0.373,0,
0.92,-64.3407,-2.6,2.394,0.002133,
0.922,-64.3401,-2.7,2.995,0.001066,
0.924,-64.3401,-2.7,0.295,0.001066,
0.926,-64.3407,-2.7,-0.352,0,
0.928,-64.3413,-2.6,1.873,0,
0.93,-64.3431,-2.7,-1.705,-0.001066,
0.932,-64.3413,-2.6,-1.297,-0.0016,
0.934,-64.3407,-2.7,1.361,0.001066,
0.936,-64.3407,-2.7,3.761,0.004355,
0.938,-64.3407,-2.7,-1.927,0.002666,
0.94,-64.3407,-2.6,-2.215,0,
0.942,-64.348,-2.6,3.908,-0.001066,
0.944,-64.3431,-2.6,2.27,0,
0.946,-64.3413,-2.6,4.699,-0.000533,
0.948,-64.3425,-2.6,5.321,0.0016,
0.95,-64.3431,-2.6,-1.408,-0.002133,
0.952,-64.3431,-2.7,-0.821,-0.0016,
0.954,-64.3437,-2.6,-1.471,-0.003733,
0.956,-64.3401,-2.7,0.207,0.000533,
0.958,-64.3419,-2.7,0.297,-0.0016,
0.96,-64.3437,-2.7,0.683,0.000533,
0.962,-64.3401,-2.7,0.334,0.000533,
0.964,-64.3413,-2.6,-1.437,0,
0.966,-64.3456,-2.7,-4.033,-0.004888,
0.968,-64.3449,-2.7,3.891,-0.000533,
0.97,-64.3407,-2.7,1.563,0.001066,
0.972,-64.3437,-2.7,1.089,-0.002666,
0.974,-64.3419,-2.6,0.665,0.002666,
0.976,-64.3413,-2.6,2.672,0,
0.978,-64.3407,-2.7,5.07,0.001066,
0.98,-64.3407,-2.6,0.712,0.001066,
0.982,-64.3407,-2.6,-1.709,0,
0.984,-64.3425,-2.7,-3.676,-0.0016,
0.986,-64.3413,-2.6,1.834,0,
0.988,-64.3413,-2.6,2.049,-0.000533,
0.99,-64.3443,-2.6,5.541,-0.0016,
0.992,-64.3462,-2.6,1.882,-0.003288,
0.994,-64.3407,-2.7,2.683,0.0032,
0.996,-64.3395,-2.7,1.264,0.000533,
0.998,-64.3419,-2.7,-3.89,-0.0016,
1,-64.3401,-2.7,-0.606,0.000533,
1.002,-64.3456,-2.7,-0.225,-0.004355,
1.004,-64.3437,-2.6,1.146,-0.0016,
